"rank","task_priority","task_type","task_action","title","score","sales_priority","stage","product_status","sales_status","follow_up_state","next_follow_up_at","supplier_email","contact_lookup_hint","source","source_url","next_action","japan_angle","required_checks","ja_subject","en_subject","sales_note"
"1","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere","97","9","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/burtran/burtran-smart-sleep-mask-recharge-in-minutes-anywhere/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere のMakuake販売について","Japan Launch Opportunity for BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere",""
"2","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub","86","7","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/bhawnacreator/hubi32/","PSE対象可否、認証書類、ACアダプタ構成を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / PSE対象可否 / ACアダプタ/充電器仕様 / 認証書類 / 商標登録/日本代理店の有無","【日本展開のご相談】HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub のMakuake販売について","Japan Launch Opportunity for HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub",""
"3","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy","86","7","scout","pending","未連絡","none","","","Yanko Design記事内のブランド名・公式サイト・掲載元リンクからメーカー連絡先を確認","Yanko Design","https://www.yankodesign.com/2026/06/18/this-revolver-style-titanium-drivers-fidgety-design-is-both-eye-and-hand-candy/?utm_source=rss&utm_medium=rss&utm_campaign=this-revolver-style-titanium-drivers-fidgety-design-is-both-eye-and-hand-candy","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy のMakuake販売について","Japan Launch Opportunity for This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy",""
"4","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","UKNIGHT: A Pixel Lantern Speaker for Your Desk","86","7","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Gadgets","http://www.kicktraq.com/projects/1702789293/uknight-a-pixel-lantern-speaker-for-your-desk/","メーカーに技適/無線仕様と日本代理店有無を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / Bluetooth/Wi-Fi等の無線仕様 / 技適取得状況 / モジュール認証情報 / 商標登録/日本代理店の有無","【日本展開のご相談】UKNIGHT: A Pixel Lantern Speaker for Your Desk のMakuake販売について","Japan Launch Opportunity for UKNIGHT: A Pixel Lantern Speaker for Your Desk",""
"5","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","EVERLITE 3-in-1 Outdoor Flashlight","83","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Product Design","http://www.kicktraq.com/projects/23831970/everlite-3-in-1-outdoor-flashlight/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】EVERLITE 3-in-1 Outdoor Flashlight のMakuake販売について","Japan Launch Opportunity for EVERLITE 3-in-1 Outdoor Flashlight",""
"6","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","FlexTorch Duo - The World's First Modular Flashlight","83","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Product Design","http://www.kicktraq.com/projects/kaman/flextorch-duo/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】FlexTorch Duo - The World's First Modular Flashlight のMakuake販売について","Japan Launch Opportunity for FlexTorch Duo - The World's First Modular Flashlight",""
"7","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags","83","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Accessories","http://www.kicktraq.com/projects/polymernai/magical-trainers-pocket-adventure-bags/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags のMakuake販売について","Japan Launch Opportunity for Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags",""
"8","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Pocket Shower: A Dual-Formula Reset for Anywhere","83","5","lp","approved","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Product Design","http://www.kicktraq.com/projects/pocketshower/pocket-shower-a-dual-formula-reset-for-anywhere/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Pocket Shower: A Dual-Formula Reset for Anywhere のMakuake販売について","Japan Launch Opportunity for Pocket Shower: A Dual-Formula Reset for Anywhere",""
"9","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","3I Atlas Space Terminal - Digital Life AI Companion Hub","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Hardware","http://www.kicktraq.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】3I Atlas Space Terminal - Digital Life AI Companion Hub のMakuake販売について","Japan Launch Opportunity for 3I Atlas Space Terminal - Digital Life AI Companion Hub",""
"10","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Atmos: Personal Air purifier built for real life","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/ziggle-labs/atmos-1/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Atmos: Personal Air purifier built for real life のMakuake販売について","Japan Launch Opportunity for Atmos: Personal Air purifier built for real life",""
