"rank","title","score","stage","source","source_url","fetch_status","primary_contact_type","primary_contact","emails","contact_pages","official_sites","crowdfunding_links","social_links","external_links","contact_lookup_hint","ja_subject","en_subject","next_action"
"1","BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere","97","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/burtran/burtran-smart-sleep-mask-recharge-in-minutes-anywhere/","ok:200","crowdfunding","https://www.kickstarter.com/profile/burtran","","","","https://www.kickstarter.com/profile/burtran / https://www.kickstarter.com/projects/burtran/burtran-smart-sleep-mask-recharge-in-minutes-anywhere/creator_bio / http://kickstarter.com/projects/burtran/burtran-smart-sleep-mask-recharge-in-minutes-anywhere","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere のMakuake販売について","Japan Launch Opportunity for BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"2","HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub","86","scout","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/bhawnacreator/hubi32/","ok:200","crowdfunding","https://www.kickstarter.com/profile/bhawnacreator","","","","https://www.kickstarter.com/profile/bhawnacreator / https://www.kickstarter.com/projects/bhawnacreator/hubi32/creator_bio / http://kickstarter.com/projects/bhawnacreator/hubi32","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub のMakuake販売について","Japan Launch Opportunity for HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub","PSE対象可否、認証書類、ACアダプタ構成を確認"
"3","This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy","86","scout","Yanko Design","https://www.yankodesign.com/2026/06/18/this-revolver-style-titanium-drivers-fidgety-design-is-both-eye-and-hand-candy/?utm_source=rss&utm_medium=rss&utm_campaign=this-revolver-style-titanium-drivers-fidgety-design-is-both-eye-and-hand-candy","ok:200","crowdfunding","https://www.kickstarter.com/projects/eckstudio/fixman-revolver-style-titanium-ratchet-driver?ref=5onl3h","","","https://bit.ly/358A9kJ","https://www.kickstarter.com/projects/eckstudio/fixman-revolver-style-titanium-ratchet-driver?ref=5onl3h","","","Yanko Design記事内のブランド名・公式サイト・掲載元リンクからメーカー連絡先を確認","【日本展開のご相談】This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy のMakuake販売について","Japan Launch Opportunity for This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"4","UKNIGHT: A Pixel Lantern Speaker for Your Desk","86","scout","Kicktraq Gadgets","http://www.kicktraq.com/projects/1702789293/uknight-a-pixel-lantern-speaker-for-your-desk/","ok:200","crowdfunding","https://www.kickstarter.com/profile/1702789293","","","","https://www.kickstarter.com/profile/1702789293 / https://www.kickstarter.com/projects/1702789293/uknight-a-pixel-lantern-speaker-for-your-desk/creator_bio / http://kickstarter.com/projects/1702789293/uknight-a-pixel-lantern-speaker-for-your-desk","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】UKNIGHT: A Pixel Lantern Speaker for Your Desk のMakuake販売について","Japan Launch Opportunity for UKNIGHT: A Pixel Lantern Speaker for Your Desk","メーカーに技適/無線仕様と日本代理店有無を確認"
"5","EVERLITE 3-in-1 Outdoor Flashlight","83","scout","Kicktraq Product Design","http://www.kicktraq.com/projects/23831970/everlite-3-in-1-outdoor-flashlight/","ok:200","crowdfunding","https://www.kickstarter.com/profile/23831970","","","","https://www.kickstarter.com/profile/23831970 / https://www.kickstarter.com/projects/23831970/everlite-3-in-1-outdoor-flashlight/creator_bio / http://kickstarter.com/projects/23831970/everlite-3-in-1-outdoor-flashlight","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】EVERLITE 3-in-1 Outdoor Flashlight のMakuake販売について","Japan Launch Opportunity for EVERLITE 3-in-1 Outdoor Flashlight","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"6","FlexTorch Duo - The World's First Modular Flashlight","83","scout","Kicktraq Product Design","http://www.kicktraq.com/projects/kaman/flextorch-duo/","ok:200","crowdfunding","https://www.kickstarter.com/profile/kaman","","","","https://www.kickstarter.com/profile/kaman / https://www.kickstarter.com/projects/kaman/flextorch-duo/creator_bio / http://kickstarter.com/projects/kaman/flextorch-duo","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】FlexTorch Duo - The World's First Modular Flashlight のMakuake販売について","Japan Launch Opportunity for FlexTorch Duo - The World's First Modular Flashlight","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"7","Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags","83","scout","Kicktraq Accessories","http://www.kicktraq.com/projects/polymernai/magical-trainers-pocket-adventure-bags/","ok:200","crowdfunding","https://www.kickstarter.com/profile/polymernai","","","","https://www.kickstarter.com/profile/polymernai / https://www.kickstarter.com/projects/polymernai/magical-trainers-pocket-adventure-bags/creator_bio / http://kickstarter.com/projects/polymernai/magical-trainers-pocket-adventure-bags","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags のMakuake販売について","Japan Launch Opportunity for Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"8","Pocket Shower: A Dual-Formula Reset for Anywhere","83","lp","Kicktraq Product Design","http://www.kicktraq.com/projects/pocketshower/pocket-shower-a-dual-formula-reset-for-anywhere/","ok:200","crowdfunding","https://www.kickstarter.com/profile/pocketshower","","","","https://www.kickstarter.com/profile/pocketshower / https://www.kickstarter.com/projects/pocketshower/pocket-shower-a-dual-formula-reset-for-anywhere/creator_bio / http://kickstarter.com/projects/pocketshower/pocket-shower-a-dual-formula-reset-for-anywhere / https://www.kickstarter.com/projects/pocketshower/pocket-shower-a-dual-formula-reset-for-anywhere/posts/4714302","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Pocket Shower: A Dual-Formula Reset for Anywhere のMakuake販売について","Japan Launch Opportunity for Pocket Shower: A Dual-Formula Reset for Anywhere","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"9","3I Atlas Space Terminal - Digital Life AI Companion Hub","82","scout","Kicktraq Hardware","http://www.kicktraq.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/","ok:200","crowdfunding","https://www.kickstarter.com/profile/jessehang","","","","https://www.kickstarter.com/profile/jessehang / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/creator_bio / http://kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4587770 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4602522 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4696347 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4719743 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4720526 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4721139 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4721813 / https://www.kickstarter.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/posts/4722889","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】3I Atlas Space Terminal - Digital Life AI Companion Hub のMakuake販売について","Japan Launch Opportunity for 3I Atlas Space Terminal - Digital Life AI Companion Hub","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"10","Atmos: Personal Air purifier built for real life","82","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/ziggle-labs/atmos-1/","ok:200","crowdfunding","https://www.kickstarter.com/profile/ziggle-labs","","","","https://www.kickstarter.com/profile/ziggle-labs / https://www.kickstarter.com/projects/ziggle-labs/atmos-1/creator_bio / http://kickstarter.com/projects/ziggle-labs/atmos-1 / https://www.kickstarter.com/projects/ziggle-labs/atmos-1/posts/4714702","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Atmos: Personal Air purifier built for real life のMakuake販売について","Japan Launch Opportunity for Atmos: Personal Air purifier built for real life","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
