"rank","stage","status","title","score","sales_priority","category","target_retail_min_jpy","target_retail_max_jpy","target_landed_cost_max_jpy","gross_profit_at_min_jpy","gross_margin_pct","pse_check","giteki_check","food_sanitation_check","trademark_supplier_check","next_action","japan_angle","risks","source","source_url","lp_headline","lp_risk","lp_faq_count","lp_image_count","sales_status","supplier_email","next_follow_up_at","follow_up_state","sales_note"
"1","scout","pending","BURTRAN Smart Sleep Mask | Recharge in Minutes. Anywhere","97","9","ウェルネス/睡眠","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","通常の輸入/PL保険/商標確認","Kicktraq Wearables","http://www.kicktraq.com/projects/burtran/burtran-smart-sleep-mask-recharge-in-minutes-anywhere/","","","0","0","未連絡","","","none",""
"2","scout","pending","HUBi32 – The Cyberpunk ESP32-S3 Smart Desk & Dev Hub","86","7","ガジェット/家電","39800","99800","13930","25870","65","required","","","recommended","PSE対象可否、認証書類、ACアダプタ構成を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","PSE確認が必要","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/bhawnacreator/hubi32/","","","0","0","未連絡","","","none",""
"3","scout","pending","This Revolver-Style Titanium Driver’s Fidgety Design Is Both Eye and Hand Candy","86","7","工具/ホビー","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","通常の輸入/PL保険/商標確認","Yanko Design","https://www.yankodesign.com/2026/06/18/this-revolver-style-titanium-drivers-fidgety-design-is-both-eye-and-hand-candy/?utm_source=rss&utm_medium=rss&utm_campaign=this-revolver-style-titanium-drivers-fidgety-design-is-both-eye-and-hand-candy","","","0","0","未連絡","","","none",""
"4","scout","pending","UKNIGHT: A Pixel Lantern Speaker for Your Desk","86","7","ガジェット/家電","12800","39800","4480","8320","65","","required","","recommended","メーカーに技適/無線仕様と日本代理店有無を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","技適確認が必要","Kicktraq Gadgets","http://www.kicktraq.com/projects/1702789293/uknight-a-pixel-lantern-speaker-for-your-desk/","","","0","0","未連絡","","","none",""
"5","scout","pending","EVERLITE 3-in-1 Outdoor Flashlight","83","5","ガジェット/家電","4980","14800","1743","3237","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Product Design","http://www.kicktraq.com/projects/23831970/everlite-3-in-1-outdoor-flashlight/","","","0","0","未連絡","","","none",""
"6","scout","pending","FlexTorch Duo - The World's First Modular Flashlight","83","5","ガジェット/家電","4980","14800","1743","3237","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","通常の輸入/PL保険/商標確認","Kicktraq Product Design","http://www.kicktraq.com/projects/kaman/flextorch-duo/","","","0","0","未連絡","","","none",""
"7","scout","pending","Magical Trainers Pocket! ✦ Vol.2 Satchel Bags & Mini bags","83","5","生活改善プロダクト","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","通常の輸入/PL保険/商標確認","Kicktraq Accessories","http://www.kicktraq.com/projects/polymernai/magical-trainers-pocket-adventure-bags/","","","0","0","未連絡","","","none",""
"8","lp","approved","Pocket Shower: A Dual-Formula Reset for Anywhere","83","5","キッチン/生活雑貨","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuakeで「持ち運び/省スペース/出張・旅行」訴求を検証","通常の輸入/PL保険/商標確認","Kicktraq Product Design","http://www.kicktraq.com/projects/pocketshower/pocket-shower-a-dual-formula-reset-for-anywhere/","話題のPocket Shower: A Dual-Formu","low","5","4","未連絡","","","none",""
"9","scout","pending","3I Atlas Space Terminal - Digital Life AI Companion Hub","82","5","ガジェット/家電","39800","99800","13930","25870","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Hardware","http://www.kicktraq.com/projects/jessehang/3i-atlas-space-terminal-metaverse-ai-companion-hub/","","","0","0","未連絡","","","none",""
"10","scout","pending","Atmos: Personal Air purifier built for real life","82","5","ウェルネス/睡眠","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Wearables","http://www.kicktraq.com/projects/ziggle-labs/atmos-1/","","","0","0","未連絡","","","none",""
